"region","id","SampleHabitat","Latitude","Longitude","ept_rich","log_ec","log_turb","slope","scale_temp","av_temp"
"NSW","-27.37422 150.63598 NSW","Edge",-27.37422,150.63598,5.5,5.77765232322266,3.10009228887823,0.00286177355731955,1.05740953391076,191
"NSW","-27.48273 150.71331 NSW","Edge",-27.48273,150.71331,4,5.91889385427315,4.68213122712422,0.00735674184562194,-0.157446097806194,190
"NSW","-27.581835 150.30345 NSW","Edge",-27.581835,150.30345,2.5,5.39816270151775,4.70048036579242,0.00105342790038785,0.473121808325319,195
"NSW","-27.62933 150.29136 NSW","Edge",-27.62933,150.29136,4,5.10594547390058,5.72031177660741,0.00189917361831664,0.0901618820933675,196
"NSW","-27.66147 150.37699 NSW","Edge",-27.66147,150.37699,0.5,5.03043792139244,6.39692965521615,0.000815333152283738,0.346999391597453,195
"NSW","-27.66205 150.13115 NSW","Edge",-27.66205,150.13115,2,4.81218435537242,6.39692965521615,0.000622109903347906,0.398932151426574,197
"NSW","-27.66349 149.42035 NSW","Edge",-27.66349,149.42035,1,5.48893772615669,6.39692965521615,0.00225569777314414,0.311399478961214,200
"NSW","-27.68419 150.85752 NSW","Edge",-27.68419,150.85752,3,5.8805329864007,3.75419892023458,0.00624748539056146,-0.0192678618322815,189
"NSW","-27.69132 150.89138 NSW","Edge",-27.69132,150.89138,4,5.61677109766657,5.57594910314632,0.00746246130480016,0.286764472875042,189
"NSW","-27.72729 149.42416 NSW","Edge",-27.72729,149.42416,3,4.98702542845712,4.87729435952392,0.00272778038198763,0.356212979672892,200
"NSW","-27.7314 149.67545 NSW","Edge",-27.7314,149.67545,3,5.33753807970132,5.14166355650266,0.002852820578729,0.206826837018341,199
"NSW","-27.77277 149.88986 NSW","Edge",-27.77277,149.88986,2,5.45958551414416,5.2704321630585,0.00207286589251674,0.190273741398854,198
"NSW","-27.82876 149.29079 NSW","Edge",-27.82876,149.29079,3,5.06259503302697,3.82209829790016,0.00545903699982241,0.0409670568901292,201
"NSW","-27.8744 148.96753 NSW","Edge",-27.8744,148.96753,2,5.39362754635236,4.23410650459726,0.00166844252832278,0.512998748908394,203
"NSW","-27.8831 149.86105 NSW","Edge",-27.8831,149.86105,2,4.89034912822175,4.17899203628239,0.000914640642390586,-0.124104929709578,198
"NSW","-27.90199 149.76095 NSW","Edge",-27.90199,149.76095,2.5,5.4553211153577,6.5792512120101,0.00054262163293562,-0.0387868242760215,199
"NSW","-27.94419 149.04623 NSW","Edge",-27.94419,149.04623,0,6.21860011969173,6.39692965521615,0.00322424454381419,0.089203166326978,203
"NSW","-27.9668675 150.21015 NSW","Edge",-27.9668675,150.21015,1,5.18738580584075,5.97126183979046,0.00653990320418068,0.371111030089545,196
"NSW","-27.97107 149.34949 NSW","Edge",-27.97107,149.34949,2,5.37527840768417,5.99893656194668,0.000408312784894139,0.392440556447934,202
"NSW","-27.97122 149.28903 NSW","Edge",-27.97122,149.28903,3,5.41164605185504,5.77765232322266,0.00105414109468453,0.274664476121176,202
"NSW","-27.99181 150.83989 NSW","Edge",-27.99181,150.83989,1,4.76217393479776,5.71702770140622,0.00521681410910835,-0.145390278560148,188
"NSW","-28.18214 150.57745 NSW","Edge",-28.18214,150.57745,2,5.53733426701854,6.05443934626937,0.00143064394711811,0.450909088763515,193
"NSW","-28.23694 150.11033 NSW","Edge",-28.23694,150.11033,1.5,5.41610040220442,6.09627491146033,0.000961826466993079,0.265390769008833,197
"NSW","-28.27748 153.32784 NSW","Edge",-28.27748,153.32784,6,4.34380542185368,1.96009478404727,0.0444457277549411,0.238894053177731,193
"NSW","-28.27748 153.32784 NSW","Riffle",-28.27748,153.32784,7,4.34380542185368,1.96009478404727,0.0444457277549411,0.238894053177731,193
"NSW","-28.2984 153.2672 NSW","Edge",-28.2984,153.2672,8,4.40671924726425,1.48160454092422,0.0614924416760341,0.225104549073603,193
